LOCATION,LAT,LONG
Victoria Memorial,22.54500141,88.34262753
Birla Planetarium,22.54572217,88.34777764
St Paul's Cathedral,22.54447069,88.34720751
ISCON Kolkata,22.54434478,88.35361723
Rabindra Sarovar,22.51238844,88.36369695
Princep Ghat,22.55551821,88.33143545
St. Johns Church,22.57127854,88.34600428
Biswa Bangla Gate,22.57865295,88.47190469
Tagore House,22.58554096,88.35912415
Marble Palace,22.58248407,88.36035856
Maidan,22.55500321,88.34088406
Eden Garden,22.56471617,88.34319626
Salt Lake Stadium,22.56923211,88.40908721
National Library,22.53330693,88.33340063
Alipore zoo,22.53732166,88.33171261
Gariahat Market,22.52030218,88.36628622
Birla Industrial and Tech Museum,22.53503291,88.36371537
Quest Mall,22.53925908,88.36578598
New Market,22.56163917,88.35186903
Dakshineswar Kali Temple,22.65515621,88.35756288
Park Street,22.55443963,88.35131118
College Street,22.57338594,88.36248104
Science City,22.54034596,88.39608682
Mother House,22.55322374,88.36368823
Kalighat Temple,22.52014937,88.34183997
Netaji Bhavan,22.53799425,88.35180887
Nicco Park,22.57148825,88.42054517
Eco Park,22.60332656,88.46724635
Mother Teresa Wax Museum,22.59955035,88.47258925
Indian Museum,22.55807404,88.35122336